exp_code,pNum,phase,cue1,out,cert_cond,prob_outcome,out_order,accuracy,RT,age,gender,cue_img_rand,out_img_rand
UNW01,201,2,2,2,0,1,[1 3 2 0],1,1.6133918000050471,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,1,3,0,0,[0 3 1 2],0,2.612052799995581,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,1,3,0,0,[2 0 1 3],0,1.7875641000064206,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,3,1,0,0,[1 0 2 3],0,1.0864733000053093,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,2,2,0,1,[1 3 2 0],1,1.197661700003664,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,4,4,0,1,[1 0 2 3],0,2.57286380000005,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,3,1,0,0,[0 3 2 1],0,0.98860180000338,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,4,4,0,1,[3 0 1 2],0,3.012882900002296,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,2,2,0,1,[1 0 2 3],1,1.1985706999985268,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,2,2,0,1,[3 2 0 1],1,1.3791116000065813,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,3,1,0,0,[2 3 0 1],0,2.4732780999984243,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,4,4,0,1,[3 0 1 2],0,1.550969999996596,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,3,1,0,0,[2 3 0 1],0,1.7966519000037806,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,1,3,0,0,[1 3 0 2],0,1.9518429000017932,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,1,3,0,0,[3 0 1 2],1,1.4148795000000973,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,1,3,0,0,[2 3 1 0],1,1.501027400001476,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,4,4,0,1,[0 1 2 3],1,1.7576583999980357,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,2,2,0,1,[2 1 0 3],1,1.032782499998575,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,2,2,0,1,[0 3 1 2],1,1.452781199994206,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,4,4,0,1,[2 0 3 1],0,1.4466997000054107,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,1,3,0,0,[0 3 1 2],0,2.133082899999863,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,1,3,0,0,[3 1 2 0],1,1.1809238999994704,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,4,4,0,1,[0 3 1 2],1,1.2450701000052504,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,4,4,0,1,[1 0 3 2],1,1.1742336999959662,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,3,1,0,0,[2 1 3 0],1,1.7722384000007878,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,3,1,0,0,[3 0 2 1],1,1.2923854000036954,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,3,1,0,0,[0 1 3 2],1,1.421919300002628,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,2,2,0,1,[0 2 3 1],1,1.255225499997323,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,3,1,0,0,[3 1 2 0],1,1.8381473000044934,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,2,2,2,0,1,[1 0 3 2],1,2.2369432999985293,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,3,4,1,0,0,[1 2 3 0],0,2.5755438999985927,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,3,2,3,0,0,[0 1 2 3],0,1.1145620000024792,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,3,3,1,0,0,[1 2 0 3],1,2.096169299999019,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,3,1,3,0,0,[1 3 0 2],1,1.434173900001042,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,3,1,3,0,0,[3 1 2 0],1,3.230042700000922,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,3,2,3,0,0,[3 0 1 2],0,2.6371278000005987,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,3,4,1,0,0,[3 1 2 0],0,2.5371378999989247,21,Female,[1 3 0 2],[3 1 2 0]
UNW01,201,3,3,1,0,0,[3 0 1 2],0,1.9121823000023142,21,Female,[1 3 0 2],[3 1 2 0]
